chrom	start	end	size	sample	PercALesion	TotalCovLesion	NumSNPLesion	PercANotLesion	TotalCovNotLesion	NumSNPNotLesion
chr01	1000000	5750000	4750000	2x_LOP868_398	0.007575757575757576	396	382	0.004	102156	93188
chr01	6000000	9250000	3250000	2x_LOP868_398	0.008620689655172414	348	333	0.004	102156	93188
chr01	20250000	21000000	750000	2x_LOP868_398	0.0	20	19	0.004	102156	93188
chr01	23250000	24250000	1000000	2x_LOP868_398	0.0	5	3	0.004	102156	93188
chr01	43000000	43750000	750000	2x_LOP868_398	0.0	37	34	0.004	102156	93188
chr01	52750000	53500000	750000	2x_LOP868_398	0.0	16	15	0.004	102156	93188
chr01	54000000	56000000	2000000	2x_LOP868_398	0.0	8	8	0.004	102156	93188
chr01	24250000	26000000	1750000	2x_LOP868_488	0.009433962264150943	954	833	0.003	130349	116587
chr01	67000000	68250000	1250000	2x_LOP868_292	0.010416666666666666	96	86	0.004	102686	93844
chr01	67000000	68250000	1250000	2x_LOP868_460	0.003703703703703704	270	192	0.004	293073	229425
chr04	13000000	14000000	1000000	2x_LOP868_272	0.002074688796680498	482	397	0.003	159196	139015
chr08	49000000	49750000	750000	2x_LOP868_480	0.0	30	30	0.003	31616	30710
chr09	32750000	33500000	750000	2x_LOP868_493	0.0	2	2	0.004	62752	59383
chr09	40000000	41000000	1000000	2x_LOP868_493	0.0	1	1	0.004	62752	59383
chr09	40250000	41000000	750000	2x_LOP868_045	0.0	2	2	0.004	110768	100922
chr09	40250000	41000000	750000	2x_LOP868_062	NA	0	0	0.003	113521	103276
chr09	40250000	41000000	750000	2x_LOP868_435	0.0	1	1	0.004	111139	100592
chr09	40250000	41000000	750000	2x_LOP868_499	NA	0	0	0.004	107573	97916
