chrom	start	end	size	sample	PercALesion	TotalCovLesion	NumSNPLesion	PercANotLesion	TotalCovNotLesion	NumSNPNotLesion
chr01	1000000	5750000	4750000	10_SRR6123032_SRR6123031_1010	0.3426208097518502	2297	1861	0.292	347054	277802
chr01	6000000	9250000	3250000	10_SRR6123032_SRR6123031_1010	0.36190072125583367	2357	1915	0.292	347054	277802
chr01	20250000	21000000	750000	10_SRR6123032_SRR6123031_1010	0.20754716981132076	53	44	0.292	347054	277802
chr01	23250000	24250000	1000000	10_SRR6123032_SRR6123031_1010	0.35714285714285715	14	13	0.292	347054	277802
chr01	24250000	26000000	1750000	10_SRR6123032_SRR6123031_1010	0.41030042918454934	2330	1883	0.292	347054	277802
chr01	43000000	43750000	750000	10_SRR6123032_SRR6123031_1010	0.34196891191709844	193	147	0.292	347054	277802
chr01	52750000	53500000	750000	10_SRR6123032_SRR6123031_1010	0.2857142857142857	21	19	0.292	347054	277802
chr01	54000000	56000000	2000000	10_SRR6123032_SRR6123031_1010	0.30434782608695654	23	21	0.292	347054	277802
chr01	67000000	68250000	1250000	10_SRR6123032_SRR6123031_1010	0.42857142857142855	231	190	0.292	347054	277802
chr04	13000000	14000000	1000000	10_SRR6123032_SRR6123031_1010	0.1738095238095238	840	692	0.292	347054	277802
chr08	49000000	49750000	750000	10_SRR6123032_SRR6123031_1010	0.3853904282115869	397	318	0.292	347054	277802
chr09	32750000	33500000	750000	10_SRR6123032_SRR6123031_1010	0.4	5	5	0.292	347054	277802
chr09	40000000	41000000	1000000	10_SRR6123032_SRR6123031_1010	0.6666666666666666	3	3	0.292	347054	277802
chr09	40250000	41000000	750000	10_SRR6123032_SRR6123031_1010	NA	0	0	0.292	347054	277802
chr01	1000000	5750000	4750000	109_SRR6123032_SRR6123031_1109	0.3533032416906032	2437	1933	0.292	346679	276413
chr01	6000000	9250000	3250000	109_SRR6123032_SRR6123031_1109	0.3516075845012366	2426	1922	0.292	346679	276413
chr01	20250000	21000000	750000	109_SRR6123032_SRR6123031_1109	0.14285714285714285	49	37	0.292	346679	276413
chr01	23250000	24250000	1000000	109_SRR6123032_SRR6123031_1109	0.42857142857142855	21	18	0.292	346679	276413
chr01	24250000	26000000	1750000	109_SRR6123032_SRR6123031_1109	0.4060374149659864	2352	1938	0.292	346679	276413
chr01	43000000	43750000	750000	109_SRR6123032_SRR6123031_1109	0.27380952380952384	168	138	0.292	346679	276413
chr01	52750000	53500000	750000	109_SRR6123032_SRR6123031_1109	0.13043478260869565	23	17	0.292	346679	276413
chr01	54000000	56000000	2000000	109_SRR6123032_SRR6123031_1109	0.11764705882352941	17	15	0.292	346679	276413
chr01	67000000	68250000	1250000	109_SRR6123032_SRR6123031_1109	0.3183673469387755	245	176	0.292	346679	276413
chr04	13000000	14000000	1000000	109_SRR6123032_SRR6123031_1109	0.23649459783913565	833	669	0.292	346679	276413
chr08	49000000	49750000	750000	109_SRR6123032_SRR6123031_1109	0.4215686274509804	408	323	0.292	346679	276413
chr09	32750000	33500000	750000	109_SRR6123032_SRR6123031_1109	0.0	1	1	0.292	346679	276413
chr09	40000000	41000000	1000000	109_SRR6123032_SRR6123031_1109	0.5	4	3	0.292	346679	276413
chr09	40250000	41000000	750000	109_SRR6123032_SRR6123031_1109	NA	0	0	0.292	346679	276413
chr01	1000000	5750000	4750000	11_SRR6123032_SRR6123031_1011	0.3401976935749588	2428	1940	0.291	346108	276718
chr01	6000000	9250000	3250000	11_SRR6123032_SRR6123031_1011	0.34876660341555976	2635	2084	0.291	346108	276718
chr01	20250000	21000000	750000	11_SRR6123032_SRR6123031_1011	0.2413793103448276	58	45	0.291	346108	276718
chr01	23250000	24250000	1000000	11_SRR6123032_SRR6123031_1011	0.375	16	12	0.291	346108	276718
chr01	24250000	26000000	1750000	11_SRR6123032_SRR6123031_1011	0.38228941684665224	2315	1861	0.291	346108	276718
chr01	43000000	43750000	750000	11_SRR6123032_SRR6123031_1011	0.4	155	131	0.291	346108	276718
chr01	52750000	53500000	750000	11_SRR6123032_SRR6123031_1011	0.3492063492063492	63	29	0.291	346108	276718
chr01	54000000	56000000	2000000	11_SRR6123032_SRR6123031_1011	0.17391304347826086	23	17	0.291	346108	276718
chr01	67000000	68250000	1250000	11_SRR6123032_SRR6123031_1011	0.3789954337899543	219	175	0.291	346108	276718
chr04	13000000	14000000	1000000	11_SRR6123032_SRR6123031_1011	0.17023675310033823	887	718	0.291	346108	276718
chr08	49000000	49750000	750000	11_SRR6123032_SRR6123031_1011	0.4	415	341	0.291	346108	276718
chr09	32750000	33500000	750000	11_SRR6123032_SRR6123031_1011	0.5	4	4	0.291	346108	276718
chr09	40000000	41000000	1000000	11_SRR6123032_SRR6123031_1011	0.4	5	4	0.291	346108	276718
chr09	40250000	41000000	750000	11_SRR6123032_SRR6123031_1011	NA	0	0	0.291	346108	276718
chr01	1000000	5750000	4750000	110_SRR6123032_SRR6123031_1110	0.3348623853211009	2398	1933	0.293	346424	276645
chr01	6000000	9250000	3250000	110_SRR6123032_SRR6123031_1110	0.34647302904564314	2410	1952	0.293	346424	276645
chr01	20250000	21000000	750000	110_SRR6123032_SRR6123031_1110	0.2	65	50	0.293	346424	276645
chr01	23250000	24250000	1000000	110_SRR6123032_SRR6123031_1110	0.47368421052631576	19	14	0.293	346424	276645
chr01	24250000	26000000	1750000	110_SRR6123032_SRR6123031_1110	0.38979506482643245	2391	1952	0.293	346424	276645
chr01	43000000	43750000	750000	110_SRR6123032_SRR6123031_1110	0.3553299492385787	197	161	0.293	346424	276645
chr01	52750000	53500000	750000	110_SRR6123032_SRR6123031_1110	0.41025641025641024	39	28	0.293	346424	276645
chr01	54000000	56000000	2000000	110_SRR6123032_SRR6123031_1110	0.29411764705882354	17	15	0.293	346424	276645
chr01	67000000	68250000	1250000	110_SRR6123032_SRR6123031_1110	0.37962962962962965	216	181	0.293	346424	276645
chr04	13000000	14000000	1000000	110_SRR6123032_SRR6123031_1110	0.1927144535840188	851	699	0.293	346424	276645
